experience_level  ,employment_type  ,remote_ratio  ,company_size  ,salary_in_usd
1,0,         0.0  ,2,0.133
2,0,         0.0  ,0,0.433
2,0,         0.5  ,1,0.182
1,0,         0.0  ,0,0.033
2,0,         0.5  ,2,0.25
0,0,         1.0  ,2,0.12
2,0,         1.0  ,0,0.317
1,0,         0.5  ,2,0.06
1,0,         1.0  ,2,0.225
2,0,         0.5  ,0,0.208
0,0,         0.0  ,0,0.086
1,0,         0.0  ,2,0.067
0,0,         0.0  ,1,0.067
1,0,         1.0  ,2,0.145
1,0,         1.0  ,2,0.142
1,0,         0.5  ,2,0.013
0,0,         1.0  ,0,0.069
2,0,         1.0  ,0,0.19
0,0,         0.5  ,1,0.01
1,0,         1.0  ,1,0.093
1,0,         0.0  ,1,0.072
1,0,         1.0  ,2,0.01
2,0,         0.5  ,2,0.08
1,0,         0.0  ,1,0.163
1,0,         0.0  ,2,0.192
3,0,         1.0  ,2,0.542
0,0,         0.5  ,2,0.07
2,0,         0.0  ,0,0.056
0,1,         1.0  ,2,0.167
2,0,         0.5  ,2,0.195
1,0,         1.0  ,0,0.099
0,0,         1.0  ,2,0.117
2,0,         1.0  ,2,0.114
1,0,         0.0  ,1,0.75
1,0,         0.5  ,2,0.078
1,0,         0.5  ,2,0.124
1,0,         1.0  ,2,0.172
0,0,         0.5  ,2,0.417
0,0,         1.0  ,0,0.017
0,0,         1.0  ,0,0.23
1,0,         1.0  ,0,0.076
3,0,         0.5  ,2,0.133
1,0,         0.0  ,1,0.084
1,0,         1.0  ,2,0.177
1,0,         0.5  ,2,0.188
0,2,         1.0  ,0,0.027
1,0,         1.0  ,0,0.128
2,0,         1.0  ,2,0.313
1,0,         1.0  ,2,0.175
1,0,         0.5  ,2,0.117
0,0,         0.0  ,0,0.01
0,0,         1.0  ,2,0.152
0,0,         0.5  ,0,0.076
0,0,         1.0  ,2,0.091
2,3,         1.0  ,0,0.1
2,0,         1.0  ,1,0.247
1,0,         1.0  ,1,0.065
1,0,         1.0  ,1,0.197
2,0,         0.5  ,2,0.2
1,0,         1.0  ,1,0.231
1,0,         1.0  ,2,0.183
1,0,         1.0  ,1,0.218
0,2,         0.5  ,0,0.036
2,0,         1.0  ,2,0.687
2,0,         1.0  ,0,0.076
0,0,         0.5  ,0,0.105
0,0,         0.0  ,0,0.082
2,0,         1.0  ,1,0.317
0,0,         1.0  ,0,0.175
2,0,         0.0  ,0,0.152
1,0,         0.5  ,0,0.105
1,0,         0.5  ,0,0.07
0,0,         0.5  ,2,0.138
3,0,         1.0  ,2,0.25
3,0,         1.0  ,2,0.392
2,0,         0.5  ,2,0.089
1,0,         1.0  ,1,0.167
1,2,         0.5  ,1,0.009
1,1,         1.0  ,2,0.45
0,0,         1.0  ,1,0.133
2,0,         1.0  ,2,0.132
1,0,         1.0  ,2,0.233
1,0,         0.5  ,2,0.09
1,0,         1.0  ,0,0.079
3,0,         1.0  ,2,0.256
1,0,         1.0  ,2,0.047
0,0,         0.5  ,1,0.099
1,0,         1.0  ,2,0.183
2,0,         1.0  ,2,0.283
2,0,         1.0  ,0,0.133
2,0,         1.0  ,2,0.148
0,0,         1.0  ,0,0.128
1,0,         1.0  ,2,0.033
2,0,         0.0  ,2,0.46
0,0,         0.5  ,2,0.05
1,0,         0.5  ,2,0.149
0,2,         1.0  ,0,0.02
1,0,         1.0  ,2,0.75
0,0,         1.0  ,1,0.117
1,0,         1.0  ,0,0.16
1,0,         0.0  ,2,0.125
2,0,         1.0  ,2,0.25
1,0,         0.5  ,2,0.06
1,0,         0.0  ,2,0.103
1,0,         0.0  ,2,0.122
1,0,         0.5  ,2,0.086
1,0,         1.0  ,2,0.312
2,0,         1.0  ,0,0.192
2,0,         1.0  ,1,0.25
0,0,         1.0  ,2,0.051
2,0,         0.5  ,2,0.158
2,0,         1.0  ,1,0.189
2,0,         1.0  ,0,0.172
0,2,         1.0  ,1,0.02
1,0,         1.0  ,2,0.076
0,0,         1.0  ,2,0.375
1,0,         1.0  ,2,0.083
1,0,         1.0  ,1,0.067
0,0,         1.0  ,0,0.15
1,0,         1.0  ,2,0.333
1,0,         0.5  ,1,0.1
2,0,         1.0  ,1,0.333
0,0,         1.0  ,1,0.083
0,0,         0.0  ,2,0.183
0,2,         0.5  ,1,0.017
1,0,         1.0  ,2,0.252
2,0,         0.5  ,0,0.2
1,0,         0.0  ,0,0.016
0,0,         1.0  ,0,0.033
2,0,         0.5  ,2,0.068
0,0,         0.5  ,0,0.167
0,0,         0.5  ,1,0.083
1,0,         1.0  ,1,0.064
2,0,         1.0  ,1,0.04
0,0,         0.0  ,0,0.167
1,0,         1.0  ,1,0.15
1,0,         0.5  ,0,0.106
1,0,         0.5  ,0,0.129
2,0,         0.0  ,2,0.367
0,0,         1.0  ,1,0.133
1,0,         1.0  ,2,0.225
2,0,         0.0  ,2,0.4
2,0,         0.0  ,2,0.25
1,0,         1.0  ,0,0.138
1,0,         1.0  ,2,0.167
2,0,         0.5  ,1,0.138
1,0,         0.5  ,1,0.104
1,0,         1.0  ,2,0.15
2,0,         1.0  ,2,0.255
2,0,         1.0  ,0,0.267
2,0,         0.0  ,0,0.28
1,0,         1.0  ,1,0.25
1,0,         1.0  ,2,0.126
0,0,         1.0  ,2,0.022
2,0,         1.0  ,2,0.24
2,0,         0.5  ,2,0.212
1,0,         1.0  ,1,0.198
1,0,         0.5  ,2,0.705
2,0,         1.0  ,1,0.2
0,0,         1.0  ,0,0.208
3,0,         0.5  ,2,0.383
3,0,         0.0  ,1,0.142
1,0,         0.5  ,2,0.047
0,0,         0.5  ,2,0.106
3,0,         0.5  ,1,0.217
2,0,         1.0  ,2,0.275
0,0,         1.0  ,2,0.133
3,0,         0.0  ,2,0.417
0,0,         0.5  ,0,0.092
1,0,         1.0  ,2,0.25
1,0,         1.0  ,2,0.283
1,0,         1.0  ,2,0.138
0,0,         1.0  ,0,0.1
2,0,         1.0  ,2,0.392
2,0,         0.5  ,2,0.101
2,0,         1.0  ,2,0.29
1,0,         0.0  ,0,0.005
1,0,         1.0  ,2,0.067
0,0,         0.5  ,0,0.135
1,0,         1.0  ,0,0.009
1,0,         0.0  ,2,0.038
1,0,         0.5  ,2,0.151
1,0,         0.0  ,2,0.043
2,0,         0.5  ,2,0.103
1,3,         0.5  ,1,0.02
1,0,         1.0  ,1,0.007
2,0,         1.0  ,1,0.083
3,0,         1.0  ,0,0.116
2,0,         0.5  ,0,0.128
1,0,         0.5  ,0,0.123
2,0,         1.0  ,2,0.253
0,0,         0.5  ,1,0.036
1,0,         0.0  ,0,0.03
2,0,         1.0  ,2,0.29
2,0,         0.5  ,2,0.16
1,0,         0.5  ,2,0.245
0,0,         1.0  ,0,0.015
2,0,         1.0  ,2,0.041
2,0,         0.5  ,2,0.09
0,0,         1.0  ,0,0.15
1,0,         0.5  ,1,0.102
2,0,         1.0  ,1,0.325
1,0,         1.0  ,2,0.063
2,0,         1.0  ,0,0.083
1,0,         1.0  ,2,0.267
1,0,         0.0  ,0,0.022
2,0,         1.0  ,2,0.333
2,0,         0.0  ,1,0.275
1,3,         0.0  ,2,0.033
2,0,         0.0  ,2,0.2
1,0,         0.5  ,2,0.041
1,0,         0.5  ,0,0.095
1,0,         0.5  ,0,0.11
0,0,         0.0  ,2,0.01
0,0,         0.5  ,1,0.041
2,0,         1.0  ,2,0.308
0,2,         0.5  ,0,0.048
1,0,         0.5  ,2,0.151
1,0,         1.0  ,1,0.148
2,0,         1.0  ,2,0.233
1,0,         1.0  ,2,0.078
1,0,         0.5  ,2,0.195
1,0,         0.0  ,1,0.056
1,0,         0.5  ,2,0.094
2,0,         1.0  ,2,0.375
3,1,         1.0  ,0,0.693
2,0,         1.0  ,0,0.146
1,0,         0.5  ,2,0.148
2,0,         0.0  ,2,0.225
2,0,         1.0  ,1,0.12
0,0,         1.0  ,2,0.027
2,0,         1.0  ,0,0.427
2,0,         1.0  ,2,0.333
2,0,         1.0  ,2,0.333
1,0,         1.0  ,2,0.3
1,0,         0.0  ,0,0.183
1,0,         1.0  ,1,0.106
1,0,         1.0  ,1,0.078
0,0,         0.0  ,1,0.007
0,0,         0.5  ,1,0.036
2,0,         1.0  ,2,0.173
1,0,         1.0  ,2,0.133
1,0,         1.0  ,2,0.183
2,0,         1.0  ,2,0.275
0,0,         1.0  ,0,0.03
1,0,         0.5  ,2,0.12
0,0,         0.5  ,2,0.061
1,0,         0.0  ,1,0.02
2,0,         0.5  ,2,0.16
2,0,         1.0  ,1,0.283
1,0,         0.5  ,2,0.192
0,0,         1.0  ,0,0.15
3,0,         1.0  ,2,1.0
0,0,         1.0  ,1,0.047
1,0,         1.0  ,2,0.155
2,0,         0.5  ,1,0.166
1,0,         1.0  ,2,0.333
2,0,         1.0  ,1,0.29
2,0,         0.5  ,2,0.308
3,0,         0.0  ,2,0.236
1,0,         0.5  ,2,0.217
2,0,         0.5  ,2,0.106
1,0,         1.0  ,0,0.028
2,0,         0.0  ,2,0.11
1,0,         1.0  ,0,0.043
2,0,         0.5  ,0,0.267
1,0,         0.0  ,1,0.155
1,0,         0.0  ,1,0.186
1,0,         1.0  ,1,0.047
0,0,         0.5  ,1,0.108
0,0,         1.0  ,2,0.121
2,0,         0.0  ,1,0.032
0,0,         0.0  ,2,0.128
0,0,         1.0  ,0,0.142
2,0,         0.5  ,1,0.129
0,0,         1.0  ,1,0.167
0,0,         0.5  ,2,0.097
2,0,         1.0  ,2,0.092
2,0,         0.5  ,2,0.034
0,0,         1.0  ,2,0.099
1,0,         1.0  ,2,0.187
0,0,         0.0  ,2,0.167
1,2,         1.0  ,2,0.116
2,1,         1.0  ,1,0.175
1,0,         0.5  ,2,0.117
2,0,         0.5  ,2,0.158
2,0,         1.0  ,2,0.171
1,0,         0.5  ,2,0.182
1,0,         0.5  ,2,0.085
2,0,         1.0  ,1,0.225
2,0,         1.0  ,1,0.258
2,0,         1.0  ,1,0.201
1,0,         0.0  ,1,0.217
1,0,         0.0  ,1,0.15
1,0,         1.0  ,1,0.283
1,0,         1.0  ,1,0.25
2,0,         1.0  ,1,0.17
2,0,         1.0  ,1,0.141
2,0,         1.0  ,1,0.228
2,0,         1.0  ,1,0.166
2,0,         0.0  ,1,0.196
2,0,         0.0  ,1,0.175
2,0,         1.0  ,1,0.243
2,0,         1.0  ,1,0.205
0,0,         1.0  ,1,0.087
2,0,         0.0  ,1,0.165
2,0,         0.0  ,1,0.193
1,0,         0.0  ,1,0.177
1,0,         0.0  ,1,0.211
3,0,         1.0  ,1,0.403
3,0,         1.0  ,1,0.333
1,0,         0.0  ,1,0.109
1,0,         0.0  ,1,0.065
1,0,         0.0  ,1,0.131
1,0,         0.0  ,1,0.087
2,0,         1.0  ,1,0.275
0,0,         1.0  ,1,0.076
2,0,         1.0  ,1,0.2
2,0,         1.0  ,1,0.151
2,0,         0.0  ,1,0.303
2,0,         0.0  ,1,0.221
2,0,         0.0  ,1,0.367
2,0,         0.0  ,1,0.267
2,0,         0.0  ,2,0.3
2,0,         0.0  ,2,0.2
2,0,         1.0  ,1,0.207
3,0,         1.0  ,1,0.217
3,0,         1.0  ,1,0.183
2,0,         1.0  ,1,0.283
1,0,         1.0  ,1,0.193
2,0,         1.0  ,1,0.188
2,0,         1.0  ,1,0.151
2,0,         1.0  ,1,0.188
2,0,         1.0  ,1,0.151
2,0,         1.0  ,1,0.276
2,0,         1.0  ,1,0.221
1,0,         1.0  ,1,0.278
2,0,         1.0  ,1,0.406
2,0,         1.0  ,1,0.228
2,0,         1.0  ,1,0.182
2,0,         1.0  ,1,0.215
2,0,         1.0  ,1,0.156
3,0,         1.0  ,1,0.373
3,0,         1.0  ,1,0.28
3,0,         1.0  ,1,0.292
2,0,         1.0  ,1,0.261
2,0,         0.0  ,1,0.181
